orig_idx,failureType,y
736703,[['none']],8
712920,[['none']],8
656285,[['none']],8
786441,[['none']],8
377203,[['Edge-Ring']],3
706051,[['none']],8
728651,[['none']],8
790497,[['none']],8
687236,[['none']],8
640247,[['none']],8
675335,[['none']],8
705557,[['none']],8
589901,[['Center']],0
680441,[['Loc']],4
687477,[['none']],8
787384,[['none']],8
754333,[['none']],8
744376,[['none']],8
631025,[['Center']],0
195697,[['Center']],0
338572,[['Scratch']],7
350351,[['Edge-Ring']],3
729539,[['none']],8
707343,[['none']],8
742897,[['none']],8
793122,[['none']],8
1748,[['none']],8
54357,[['Edge-Loc']],2
686828,[['none']],8
648332,[['none']],8
5499,[['none']],8
722734,[['none']],8
726143,[['none']],8
768484,[['none']],8
791884,[['none']],8
738755,[['none']],8
719880,[['none']],8
802315,[['none']],8
761537,[['none']],8
651051,[['none']],8
660203,[['none']],8
782077,[['none']],8
746256,[['none']],8
787705,[['none']],8
711814,[['none']],8
708246,[['none']],8
748049,[['none']],8
749060,[['none']],8
684674,[['none']],8
21047,[['Edge-Ring']],3
804019,[['none']],8
245813,[['none']],8
777429,[['none']],8
141354,[['Edge-Ring']],3
693840,[['none']],8
770368,[['none']],8
695969,[['none']],8
730950,[['none']],8
249364,[['none']],8
267366,[['Edge-Ring']],3
767727,[['none']],8
775935,[['none']],8
711077,[['none']],8
5841,[['none']],8
798792,[['none']],8
789783,[['none']],8
731139,[['none']],8
294420,[['Edge-Ring']],3
793869,[['none']],8
649987,[['none']],8
701163,[['none']],8
168339,[['Center']],0
766090,[['none']],8
768059,[['none']],8
756657,[['Edge-Loc']],2
726660,[['none']],8
244968,[['none']],8
630836,[['Center']],0
693917,[['none']],8
720849,[['none']],8
417371,[['Edge-Loc']],2
687097,[['none']],8
693114,[['none']],8
643749,[['none']],8
743164,[['none']],8
716945,[['none']],8
727158,[['none']],8
756941,[['none']],8
728098,[['none']],8
589405,[['Edge-Loc']],2
689600,[['none']],8
574025,[['Center']],0
799569,[['none']],8
678702,[['none']],8
796273,[['none']],8
679739,[['Center']],0
247204,[['none']],8
773883,[['none']],8
751102,[['none']],8
756332,[['none']],8
774029,[['none']],8
727595,[['none']],8
742676,[['none']],8
735448,[['none']],8
654523,[['none']],8
758737,[['none']],8
793148,[['none']],8
715569,[['none']],8
652803,[['Scratch']],7
286798,[['Scratch']],7
649173,[['none']],8
642151,[['none']],8
679363,[['none']],8
709124,[['none']],8
721440,[['none']],8
359892,[['Edge-Ring']],3
776194,[['none']],8
763229,[['Loc']],4
720427,[['none']],8
776640,[['none']],8
776261,[['none']],8
19073,[['Random']],6
300322,[['Edge-Ring']],3
722975,[['Edge-Loc']],2
775630,[['none']],8
716802,[['none']],8
778130,[['none']],8
706264,[['none']],8
758403,[['none']],8
4837,[['none']],8
698584,[['none']],8
771669,[['none']],8
792530,[['none']],8
694327,[['none']],8
705453,[['none']],8
655959,[['none']],8
729426,[['none']],8
717024,[['none']],8
754649,[['none']],8
2600,[['none']],8
645541,[['none']],8
700447,[['none']],8
221249,[['Edge-Ring']],3
45429,[['Edge-Loc']],2
807833,[['none']],8
710141,[['none']],8
777144,[['none']],8
690980,[['none']],8
737899,[['none']],8
721626,[['none']],8
764193,[['none']],8
346999,[['Edge-Ring']],3
759945,[['none']],8
685124,[['none']],8
346815,[['Edge-Ring']],3
724831,[['none']],8
14146,[['Edge-Ring']],3
772528,[['none']],8
683964,[['none']],8
747311,[['none']],8
737021,[['none']],8
700847,[['none']],8
437291,[['Loc']],4
779240,[['none']],8
776667,[['none']],8
747394,[['none']],8
658970,[['none']],8
674066,[['Loc']],4
715224,[['none']],8
719312,[['none']],8
801299,[['none']],8
766537,[['none']],8
744572,[['none']],8
761892,[['none']],8
7354,[['none']],8
793542,[['none']],8
770564,[['none']],8
736118,[['none']],8
714322,[['none']],8
615,[['none']],8
756474,[['none']],8
699290,[['none']],8
760517,[['Center']],0
646158,[['none']],8
694529,[['none']],8
778134,[['none']],8
300552,[['Edge-Ring']],3
723026,[['Center']],0
726945,[['none']],8
160655,[['Center']],0
676917,[['none']],8
726864,[['none']],8
434651,[['Donut']],1
4499,[['none']],8
775756,[['none']],8
808747,[['none']],8
695585,[['none']],8
641621,[['Near-full']],5
70639,[['Edge-Loc']],2
781907,[['none']],8
221357,[['Edge-Ring']],3
604237,[['Edge-Ring']],3
767011,[['none']],8
759592,[['none']],8
702326,[['none']],8
710666,[['none']],8
656515,[['none']],8
242055,[['none']],8
677636,[['none']],8
731244,[['none']],8
783547,[['none']],8
794126,[['none']],8
754615,[['none']],8
2749,[['none']],8
782002,[['none']],8
764571,[['none']],8
757324,[['none']],8
644804,[['none']],8
771413,[['none']],8
692401,[['Center']],0
716968,[['none']],8
650206,[['none']],8
721333,[['none']],8
652889,[['none']],8
768438,[['none']],8
785328,[['none']],8
762371,[['none']],8
722809,[['none']],8
774830,[['none']],8
805301,[['none']],8
677417,[['none']],8
786000,[['none']],8
764082,[['none']],8
589239,[['Center']],0
3770,[['none']],8
709165,[['Center']],0
771708,[['none']],8
805008,[['none']],8
688537,[['none']],8
684757,[['none']],8
759903,[['none']],8
657283,[['none']],8
719648,[['none']],8
753491,[['none']],8
159033,[['Center']],0
790765,[['none']],8
801468,[['none']],8
21442,[['Edge-Ring']],3
810705,[['none']],8
590855,[['Center']],0
803926,[['none']],8
655249,[['none']],8
783457,[['none']],8
753008,[['none']],8
688096,[['none']],8
774714,[['Center']],0
655811,[['none']],8
3406,[['none']],8
734339,[['none']],8
769411,[['none']],8
802326,[['none']],8
639701,[['Edge-Loc']],2
786229,[['none']],8
644518,[['none']],8
659825,[['none']],8
785865,[['none']],8
681577,[['none']],8
690875,[['none']],8
790222,[['none']],8
788178,[['none']],8
751046,[['none']],8
347581,[['Loc']],4
199,[['none']],8
698187,[['none']],8
801779,[['none']],8
705521,[['none']],8
744372,[['none']],8
806377,[['none']],8
735603,[['none']],8
722496,[['none']],8
394480,[['Center']],0
701968,[['none']],8
681396,[['none']],8
722893,[['none']],8
775235,[['none']],8
651835,[['none']],8
702815,[['none']],8
656360,[['none']],8
794913,[['none']],8
759640,[['Edge-Loc']],2
3350,[['none']],8
754534,[['none']],8
802928,[['none']],8
586285,[['Center']],0
772409,[['none']],8
805351,[['none']],8
679888,[['Center']],0
710461,[['none']],8
686395,[['none']],8
788918,[['none']],8
676187,[['none']],8
696045,[['none']],8
735744,[['none']],8
658378,[['none']],8
720834,[['none']],8
245066,[['Edge-Ring']],3
700291,[['none']],8
683685,[['none']],8
752109,[['none']],8
714958,[['none']],8
685263,[['none']],8
750007,[['none']],8
639895,[['none']],8
759266,[['none']],8
725892,[['none']],8
776838,[['none']],8
658767,[['none']],8
643111,[['none']],8
800944,[['none']],8
765575,[['none']],8
803159,[['none']],8
680616,[['Loc']],4
253084,[['none']],8
739028,[['none']],8
763827,[['none']],8
704596,[['none']],8
702489,[['none']],8
645951,[['none']],8
680344,[['none']],8
762219,[['Center']],0
746149,[['none']],8
809733,[['none']],8
680846,[['none']],8
639724,[['none']],8
762708,[['none']],8
749469,[['none']],8
804665,[['none']],8
685056,[['none']],8
809330,[['none']],8
732902,[['none']],8
751806,[['none']],8
221360,[['Edge-Ring']],3
732174,[['none']],8
725238,[['none']],8
804706,[['none']],8
730151,[['Center']],0
751360,[['none']],8
697281,[['none']],8
690689,[['none']],8
657008,[['none']],8
706614,[['none']],8
800700,[['none']],8
781025,[['none']],8
798188,[['none']],8
809778,[['none']],8
777256,[['none']],8
689912,[['none']],8
657005,[['none']],8
692644,[['none']],8
692771,[['Loc']],4
791675,[['none']],8
709806,[['none']],8
763207,[['Near-full']],5
776544,[['none']],8
684328,[['none']],8
768460,[['none']],8
5450,[['none']],8
763192,[['none']],8
806589,[['none']],8
678373,[['none']],8
660565,[['none']],8
762382,[['none']],8
689202,[['none']],8
778621,[['none']],8
750990,[['none']],8
680331,[['none']],8
694796,[['none']],8
780404,[['none']],8
747088,[['none']],8
730653,[['none']],8
587910,[['Center']],0
657204,[['none']],8
763231,[['Center']],0
782029,[['none']],8
7317,[['none']],8
761943,[['none']],8
591659,[['Center']],0
806891,[['none']],8
774725,[['none']],8
265118,[['Edge-Ring']],3
20950,[['Edge-Ring']],3
245190,[['none']],8
787531,[['none']],8
87209,[['Edge-Loc']],2
3611,[['none']],8
648256,[['none']],8
733059,[['none']],8
776307,[['none']],8
799074,[['none']],8
772772,[['none']],8
118500,[['Loc']],4
724475,[['none']],8
7292,[['Center']],0
721238,[['none']],8
764244,[['none']],8
683486,[['none']],8
801513,[['none']],8
645359,[['none']],8
697563,[['none']],8
726412,[['none']],8
784381,[['none']],8
780688,[['none']],8
722556,[['none']],8
200269,[['Edge-Ring']],3
684717,[['none']],8
747308,[['none']],8
791808,[['Edge-Loc']],2
646024,[['none']],8
2903,[['none']],8
678194,[['none']],8
721454,[['none']],8
808774,[['none']],8
678786,[['none']],8
705922,[['none']],8
724900,[['none']],8
757336,[['none']],8
778425,[['none']],8
799250,[['none']],8
769596,[['Edge-Loc']],2
646398,[['none']],8
794755,[['Loc']],4
90004,[['Edge-Ring']],3
748097,[['none']],8
770613,[['none']],8
771275,[['Edge-Loc']],2
678168,[['none']],8
691591,[['none']],8
245689,[['none']],8
693696,[['none']],8
676135,[['none']],8
693310,[['none']],8
725777,[['none']],8
790822,[['none']],8
3424,[['none']],8
99,[['none']],8
804304,[['none']],8
717270,[['none']],8
590872,[['Center']],0
799659,[['none']],8
757807,[['none']],8
759515,[['none']],8
706199,[['none']],8
698698,[['none']],8
720725,[['none']],8
719705,[['none']],8
87257,[['Loc']],4
253029,[['none']],8
809721,[['none']],8
711276,[['none']],8
687578,[['none']],8
157681,[['Edge-Ring']],3
216143,[['Edge-Ring']],3
642855,[['none']],8
652230,[['none']],8
714201,[['Edge-Loc']],2
747632,[['none']],8
770823,[['none']],8
723192,[['none']],8
719391,[['none']],8
767314,[['none']],8
657122,[['none']],8
716099,[['none']],8
765828,[['none']],8
726655,[['none']],8
183695,[['Edge-Ring']],3
783596,[['none']],8
678939,[['none']],8
761207,[['none']],8
780733,[['none']],8
802367,[['none']],8
715143,[['none']],8
722369,[['none']],8
683044,[['none']],8
734163,[['none']],8
726758,[['none']],8
758369,[['none']],8
699805,[['none']],8
797711,[['none']],8
691499,[['none']],8
708557,[['none']],8
683097,[['Scratch']],7
228251,[['Edge-Ring']],3
725162,[['none']],8
703515,[['none']],8
645458,[['none']],8
789920,[['none']],8
1139,[['none']],8
763036,[['none']],8
141325,[['Edge-Ring']],3
772780,[['none']],8
772270,[['none']],8
694288,[['none']],8
240678,[['Edge-Ring']],3
731188,[['none']],8
682518,[['none']],8
776795,[['none']],8
735526,[['none']],8
797947,[['none']],8
758052,[['none']],8
253409,[['none']],8
705239,[['none']],8
737576,[['none']],8
740266,[['none']],8
716475,[['none']],8
758262,[['Edge-Loc']],2
760770,[['none']],8
706282,[['none']],8
699606,[['none']],8
647419,[['none']],8
719623,[['Loc']],4
644251,[['none']],8
755087,[['none']],8
801077,[['none']],8
759314,[['none']],8
702289,[['none']],8
691629,[['none']],8
45787,[['Edge-Loc']],2
772313,[['none']],8
805153,[['none']],8
307162,[['Edge-Loc']],2
779436,[['Scratch']],7
255070,[['Center']],0
810434,[['none']],8
781649,[['none']],8
802250,[['none']],8
199861,[['Edge-Ring']],3
657719,[['none']],8
797257,[['none']],8
784251,[['none']],8
200140,[['Edge-Ring']],3
796597,[['none']],8
716284,[['none']],8
249294,[['none']],8
684463,[['none']],8
221307,[['Edge-Ring']],3
760555,[['Center']],0
796774,[['none']],8
728406,[['Edge-Ring']],3
706183,[['none']],8
677994,[['none']],8
781691,[['none']],8
810657,[['none']],8
723133,[['none']],8
699346,[['none']],8
710055,[['none']],8
216243,[['Edge-Ring']],3
768866,[['none']],8
780887,[['none']],8
760243,[['none']],8
644902,[['none']],8
677270,[['none']],8
764628,[['none']],8
789392,[['none']],8
713708,[['none']],8
654563,[['none']],8
776357,[['none']],8
279270,[['Donut']],1
776699,[['none']],8
749769,[['none']],8
245561,[['none']],8
801883,[['none']],8
769497,[['none']],8
747659,[['none']],8
266188,[['Edge-Ring']],3
752950,[['none']],8
678770,[['none']],8
712313,[['none']],8
730671,[['none']],8
776050,[['none']],8
715085,[['none']],8
801119,[['none']],8
713977,[['none']],8
4479,[['none']],8
714104,[['none']],8
346844,[['Edge-Ring']],3
680863,[['none']],8
648,[['none']],8
765900,[['none']],8
796195,[['none']],8
726641,[['Loc']],4
774734,[['none']],8
801815,[['none']],8
725066,[['none']],8
739849,[['Edge-Loc']],2
656871,[['none']],8
724067,[['none']],8
718727,[['none']],8
771683,[['none']],8
750037,[['none']],8
756688,[['none']],8
227010,[['Edge-Ring']],3
711665,[['none']],8
689543,[['none']],8
660648,[['none']],8
363233,[['Loc']],4
680008,[['Center']],0
696399,[['none']],8
742661,[['none']],8
684270,[['none']],8
733902,[['none']],8
652681,[['none']],8
236216,[['Edge-Ring']],3
738319,[['none']],8
709792,[['none']],8
653444,[['none']],8
764012,[['none']],8
165642,[['Edge-Loc']],2
766938,[['none']],8
5247,[['none']],8
763380,[['none']],8
754425,[['none']],8
720567,[['none']],8
732234,[['none']],8
739997,[['none']],8
800170,[['Edge-Loc']],2
709522,[['none']],8
439662,[['Loc']],4
714280,[['none']],8
689173,[['none']],8
736311,[['none']],8
688225,[['none']],8
199936,[['Edge-Ring']],3
807915,[['none']],8
726616,[['none']],8
681544,[['none']],8
765194,[['none']],8
709026,[['none']],8
774381,[['none']],8
763015,[['none']],8
739284,[['none']],8
767987,[['none']],8
589161,[['Center']],0
729917,[['none']],8
719857,[['none']],8
247333,[['none']],8
2369,[['none']],8
775112,[['none']],8
525868,[['Center']],0
675180,[['none']],8
250496,[['none']],8
751145,[['none']],8
88253,[['Loc']],4
187837,[['Edge-Ring']],3
805993,[['none']],8
717442,[['none']],8
776037,[['none']],8
694073,[['none']],8
749904,[['none']],8
761271,[['none']],8
752934,[['none']],8
676681,[['none']],8
575519,[['Edge-Loc']],2
739977,[['none']],8
748785,[['none']],8
658081,[['none']],8
784083,[['none']],8
769994,[['none']],8
783532,[['none']],8
726084,[['none']],8
681796,[['none']],8
682300,[['none']],8
782553,[['none']],8
757242,[['none']],8
796797,[['none']],8
808433,[['none']],8
749477,[['none']],8
720737,[['none']],8
724167,[['none']],8
763228,[['none']],8
745491,[['none']],8
187857,[['Edge-Ring']],3
705684,[['none']],8
659171,[['none']],8
3311,[['none']],8
697487,[['none']],8
712519,[['none']],8
794055,[['none']],8
731222,[['none']],8
802163,[['none']],8
690223,[['none']],8
25475,[['Edge-Loc']],2
247726,[['none']],8
645299,[['none']],8
199646,[['Edge-Ring']],3
696115,[['none']],8
681019,[['none']],8
684175,[['none']],8
758064,[['none']],8
810697,[['Edge-Ring']],3
785435,[['none']],8
792233,[['none']],8
729801,[['none']],8
699134,[['none']],8
738133,[['none']],8
746525,[['none']],8
647708,[['none']],8
806323,[['none']],8
699995,[['none']],8
590548,[['Center']],0
714465,[['none']],8
700031,[['none']],8
643578,[['none']],8
693060,[['none']],8
792480,[['none']],8
734664,[['none']],8
720642,[['none']],8
776928,[['none']],8
750335,[['none']],8
279555,[['Donut']],1
713539,[['none']],8
160154,[['Center']],0
708866,[['none']],8
768289,[['none']],8
705053,[['Scratch']],7
282479,[['Edge-Ring']],3
656107,[['none']],8
748883,[['none']],8
649880,[['none']],8
329530,[['Edge-Ring']],3
675186,[['none']],8
786741,[['none']],8
673879,[['none']],8
766450,[['none']],8
678027,[['none']],8
686735,[['none']],8
761345,[['none']],8
648537,[['none']],8
802540,[['none']],8
682414,[['none']],8
2523,[['none']],8
687502,[['none']],8
782593,[['none']],8
592435,[['Center']],0
724235,[['none']],8
703508,[['none']],8
803552,[['none']],8
700278,[['Edge-Loc']],2
753454,[['none']],8
1563,[['none']],8
796055,[['none']],8
758927,[['none']],8
705863,[['none']],8
588165,[['Center']],0
695993,[['none']],8
282480,[['Edge-Ring']],3
706408,[['none']],8
786616,[['none']],8
726417,[['none']],8
768164,[['none']],8
767453,[['none']],8
704923,[['none']],8
778326,[['none']],8
764606,[['Loc']],4
588921,[['Center']],0
776482,[['none']],8
739490,[['none']],8
691085,[['none']],8
780692,[['none']],8
808401,[['none']],8
738952,[['none']],8
648717,[['none']],8
268742,[['Edge-Ring']],3
280044,[['Donut']],1
714376,[['none']],8
727353,[['none']],8
407100,[['Edge-Loc']],2
776238,[['none']],8
782744,[['none']],8
719825,[['none']],8
658472,[['none']],8
678613,[['none']],8
802478,[['none']],8
676008,[['none']],8
660652,[['none']],8
681556,[['none']],8
786582,[['none']],8
4013,[['none']],8
247594,[['none']],8
720465,[['none']],8
704006,[['none']],8
678910,[['none']],8
251975,[['none']],8
676661,[['none']],8
802533,[['none']],8
803833,[['none']],8
761439,[['none']],8
780895,[['none']],8
728627,[['none']],8
769559,[['none']],8
791561,[['none']],8
644710,[['none']],8
725149,[['none']],8
657778,[['none']],8
771098,[['none']],8
642283,[['none']],8
675492,[['none']],8
658898,[['Edge-Loc']],2
793809,[['none']],8
556467,[['Loc']],4
652234,[['none']],8
738181,[['none']],8
735717,[['none']],8
799721,[['none']],8
772665,[['none']],8
6566,[['none']],8
735454,[['none']],8
514821,[['Scratch']],7
639912,[['none']],8
755330,[['Random']],6
805349,[['none']],8
660338,[['Scratch']],7
690564,[['Edge-Loc']],2
792749,[['Scratch']],7
702597,[['none']],8
733852,[['none']],8
726398,[['none']],8
762536,[['none']],8
809408,[['none']],8
714075,[['none']],8
703604,[['none']],8
744957,[['none']],8
242354,[['none']],8
242347,[['none']],8
676675,[['none']],8
808110,[['none']],8
6125,[['none']],8
779932,[['none']],8
7581,[['none']],8
728265,[['Edge-Ring']],3
793057,[['none']],8
777681,[['none']],8
795148,[['Edge-Loc']],2
658758,[['none']],8
772500,[['none']],8
804734,[['none']],8
744947,[['none']],8
767291,[['none']],8
724065,[['none']],8
721126,[['none']],8
761897,[['none']],8
639765,[['none']],8
739776,[['none']],8
724051,[['none']],8
800054,[['none']],8
778500,[['none']],8
643308,[['none']],8
794789,[['none']],8
717481,[['none']],8
648452,[['none']],8
768462,[['none']],8
694911,[['none']],8
686060,[['none']],8
723709,[['none']],8
659725,[['none']],8
721918,[['none']],8
678738,[['Loc']],4
750203,[['none']],8
244321,[['Edge-Loc']],2
798427,[['none']],8
787575,[['none']],8
763504,[['none']],8
691513,[['none']],8
747670,[['none']],8
5347,[['Edge-Loc']],2
753592,[['none']],8
1876,[['none']],8
656225,[['none']],8
694440,[['none']],8
696394,[['none']],8
684807,[['none']],8
710118,[['none']],8
710675,[['none']],8
757532,[['none']],8
713829,[['none']],8
800577,[['none']],8
761021,[['none']],8
789883,[['none']],8
771672,[['none']],8
6237,[['none']],8
798322,[['none']],8
793654,[['none']],8
753642,[['none']],8
767228,[['none']],8
643609,[['none']],8
690729,[['none']],8
701080,[['none']],8
228326,[['Edge-Ring']],3
803357,[['none']],8
706317,[['none']],8
691615,[['none']],8
772339,[['none']],8
810970,[['none']],8
790948,[['none']],8
783246,[['none']],8
696246,[['none']],8
250279,[['none']],8
745081,[['none']],8
801291,[['none']],8
679661,[['Edge-Loc']],2
766054,[['none']],8
769934,[['none']],8
776423,[['Edge-Loc']],2
124920,[['Edge-Ring']],3
21342,[['Edge-Ring']],3
656663,[['none']],8
216069,[['Edge-Ring']],3
684079,[['none']],8
752280,[['none']],8
187141,[['Edge-Ring']],3
707634,[['none']],8
677737,[['none']],8
654744,[['none']],8
773664,[['none']],8
720115,[['none']],8
693861,[['none']],8
692187,[['none']],8
779023,[['none']],8
701467,[['none']],8
760788,[['none']],8
646599,[['none']],8
768524,[['none']],8
45353,[['Edge-Loc']],2
749049,[['none']],8
658129,[['none']],8
708118,[['none']],8
755672,[['none']],8
691030,[['none']],8
724876,[['Edge-Ring']],3
794094,[['Loc']],4
764875,[['Center']],0
711320,[['none']],8
682452,[['none']],8
697270,[['none']],8
721615,[['none']],8
799465,[['none']],8
762138,[['none']],8
690194,[['none']],8
733471,[['none']],8
688378,[['Loc']],4
800603,[['none']],8
644648,[['none']],8
796639,[['none']],8
640688,[['none']],8
652270,[['none']],8
